field_key,category_name,definition,requiredness_lesson_player_supabase,requiredness_lv2,affects_lineage,notes
acceptedCorrections,Activities & Interaction,Canonical correction list for ACT-019 error-correction responses.,,,lv2|player|supabase,
activityTypes,Activities & Interaction,Lesson/group planning summary of activity families; not a slide runtime identity key.,,,lv2|supabase,
audioA,Activities & Interaction,ACT-003 first comparison clip for minimal-pair interaction.,,,lv2|player|supabase,
audioB,Activities & Interaction,ACT-003 second comparison clip for minimal-pair interaction.,,,lv2|player|supabase,
audioClips,Activities & Interaction,Ordered ACT-025 clip list for audio-sequencing tasks.,,,lv2|player|supabase,
audioPrompt,Activities & Interaction,Authored prompt-audio payload for selected ACT lanes; CMS bridge can copy it into canonical audio when audio is absent.,,,lv2|player|supabase,
avatarDialogues,Activities & Interaction,JSON array for ACT-023 avatar dialogue turns consumed directly by the Player.,,,lv2|player|supabase,
blanks,Activities & Interaction,"Structured blank rules for inline gap-fill content (e.g., blank positions and accepted alternatives).",,,lv2|player|supabase,
categoryLabels,Activities & Interaction,"Category titles shown above ACT-013 containers, and labels for ACT-014 categories.",,,lv2|player|supabase,
choiceElements,Activities & Interaction,Options for multiple-choice (label + optional audio per option).,,,lv2|player|supabase,
correctAnswer,Activities & Interaction,Correct answer for choice activities (typically a 1-based choice index for ACT-009/ACT-010).,,,lv2|player|supabase,
correctCurveId,Activities & Interaction,"Correct intonation curve (rising, falling, fall-rise) for ACT-004.",,,lv2|player|supabase,
correctOddIndex,Activities & Interaction,"Index of the correct ""odd one out"" option (ACT-012).",,,lv2|player|supabase,
correctOrderClips,Activities & Interaction,Correct order of audio clips (indices) for ACT-025.,,,lv2|player|supabase,
correctOrderWords,Activities & Interaction,Correct order for sentence reconstruction tokens (ACT-015).,,,lv2|player|supabase,
correctStressIndex,Activities & Interaction,Index of the correctly stressed syllable (ACT-002).,,,lv2|player|supabase,
errorIndex,Activities & Interaction,Index of the error in the incorrect sentence (ACT-019).,,,lv2|player|supabase,
imageUrl,Activities & Interaction,Canonical image URL used by ACT-024 visual puzzle/frame interaction.,,,player|supabase,
incorrectSentence,Activities & Interaction,Sentence with error for correction (ACT-019).,,,lv2|player|supabase,
intonationOptions,Activities & Interaction,"Set of valid intonation answer choices (rising, falling, fall-rise) for ACT-004.",,,lv2|player|supabase,
keywordThreshold,Activities & Interaction,Threshold for keyword matching (ACT-021).,,,lv2|player|supabase,
letterUnits,Activities & Interaction,Letter/chunk units presented in ACT-024 for word assembly.,,,lv2|player|supabase,
lines,Activities & Interaction,Canonical lines-native content lane for ACT-001/ACT-005 and related runtime rendering flows.,,,lv2|player|supabase,
matchPairs,Activities & Interaction,Left/right pairs for drag-and-drop match (ACT-013).,,,lv2|player|supabase,
maxRetries,Activities & Interaction,Maximum retry attempts allowed in ACT-024 before fail/lock behavior.,,,player|supabase,
maxWordCount,Activities & Interaction,Maximum word count for open production (ACT-022).,,,lv2|player|supabase,
